利用日,利用金額,利用店名・商品名
2024/06/01,1200,セブンイレブン池袋店
2024/06/02,3500,イオン新宿店
2024/06/03,850,ローソン渋谷店
2024/06/04,2800,スターバックス表参道店
2024/06/05,15000,ユニクロ銀座店
2024/06/06,4200,すき家六本木店
2024/06/07,680,ファミリーマート品川店
2024/06/08,8500,東京ガス料金
2024/06/09,2100,マツモトキヨシ上野店
2024/06/10,1500,映画館TOHOシネマズ新宿
2024/06/11,5200,ENEOS給油所
2024/06/12,3800,無印良品有楽町店
2024/06/13,1100,コメダ珈琲店池袋店
2024/06/14,12000,東京電力料金
2024/06/15,750,デイリーヤマザキ新橋店
2024/06/16,4500,しゃぶしゃぶ温野菜新宿店
2024/06/17,2200,ドン・キホーテ渋谷店
2024/06/18,6800,H&M原宿店
2024/06/19,980,サイゼリヤ池袋店
2024/06/20,3200,カラオケビッグエコー六本木店
